Romaine     
Lotus Root
Lotus Seed
Mushrooms
Napa Cabbage
Nopales
Okra
Olive
Onion
Green Onions/Scallions   	
Parsley
Parsley Root
Parsnip
Peas
green peas
snap peas  
Peppers
Plantain
Potato
Pumpkin
Purslane
Radicchio
Radish
Rutabaga
Sea Vegetables
Shallots
Spinach
Squash
Sweet Potato
Swiss Chard
Taro
Tomatillo 
Tomato
Turnip
Water Chestnut
Water Spinach
Watercress
Winter Melon
Yams
Zucchini
